,status_type,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1,1,150.0,0,0,150,0,0,0,0,0
2,3,227.0,236,57,204,21,1,1,0,0
3,1,111.0,0,0,111,0,0,0,0,0
4,1,213.0,0,0,204,9,0,0,0,0
5,1,217.0,6,0,211,5,1,0,0,0
6,3,503.0,614,72,418,70,10,2,0,3
7,3,295.0,453,53,260,32,1,1,0,1
8,1,203.0,1,0,198,5,0,0,0,0
9,1,170.0,9,1,167,3,0,0,0,0
10,1,210.0,2,3,202,7,1,0,0,0
11,1,222.0,4,0,213,5,4,0,0,0
12,1,313.0,4,2,305,6,2,0,0,0
13,1,209.0,4,0,200,8,1,0,0,0
14,1,346.0,11,0,335,10,1,0,0,0
15,3,332.0,100,30,303,23,1,5,0,0
16,3,135.0,256,79,117,18,0,0,0,0
17,3,150.0,173,47,132,16,1,0,1,0
18,3,221.0,166,36,192,28,0,1,0,0
19,1,152.0,2,0,149,3,0,0,0,0
20,1,234.0,15,1,221,12,1,0,0,0
21,1,227.0,7,1,217,7,2,1,0,0
22,1,98.0,0,0,96,0,2,0,0,0
23,3,18.0,0,0,18,0,0,0,0,0
24,1,102.0,0,0,100,0,2,0,0,0
25,3,37.0,0,1,37,0,0,0,0,0
26,3,75.0,36,14,70,5,0,0,0,0
27,3,90.0,78,9,85,5,0,0,0,0
28,1,145.0,9,0,138,7,0,0,0,0
29,3,253.0,300,31,229,22,1,1,0,0
30,1,85.0,0,0,81,2,2,0,0,0
31,3,45.0,14,0,40,5,0,0,0,0
32,1,92.0,0,0,85,4,2,1,0,0
33,1,125.0,1,0,116,8,1,0,0,0
34,1,119.0,4,0,116,3,0,0,0,0
35,1,293.0,8,0,281,11,1,0,0,0
36,3,128.0,137,26,110,16,2,0,0,0
37,1,84.0,15,13,78,5,1,0,0,0
38,1,66.0,11,6,61,4,1,0,0,0
39,3,171.0,292,28,150,19,1,1,0,0
40,3,90.0,72,23,79,10,1,0,0,0
41,3,139.0,39,9,121,16,1,1,0,0
42,3,236.0,181,21,201,33,0,1,0,1
43,3,225.0,210,34,193,30,0,2,0,0
44,1,275.0,12,0,260,11,4,0,0,0
45,3,372.0,456,37,334,31,1,1,1,4
46,1,445.0,9,0,419,23,3,0,0,0
47,3,128.0,60,11,114,13,0,0,0,1
48,3,186.0,235,46,163,19,0,3,0,1
49,3,309.0,444,36,254,42,2,8,3,0
50,1,77.0,11,3,75,2,0,0,0,0
51,3,119.0,72,28,103,16,0,0,0,0
52,1,100.0,21,13,95,5,0,0,0,0
53,3,240.0,255,111,193,44,1,1,0,1
54,3,164.0,136,48,146,15,2,0,1,0
55,3,202.0,327,42,171,30,1,0,0,0
56,3,211.0,284,46,186,25,0,0,0,0
57,3,148.0,114,16,136,10,0,2,0,0
58,3,97.0,81,16,84,13,0,0,0,0
59,3,279.0,292,34,254,20,3,1,1,0
60,1,263.0,8,0,245,14,4,0,0,0
61,3,177.0,193,34,151,25,1,0,0,0
62,1,517.0,32,1,484,26,7,0,0,0
63,3,289.0,258,33,256,33,0,0,0,0
64,1,66.0,13,0,65,1,0,0,0,0
65,1,112.0,6,0,104,8,0,0,0,0
66,3,206.0,259,48,181,22,1,2,0,0
67,3,362.0,468,86,305,56,0,0,1,0
68,3,184.0,130,51,161,23,0,0,0,0
69,3,216.0,251,34,199,16,0,0,0,1
70,3,57.0,0,0,56,1,0,0,0,0
71,3,272.0,258,43,226,44,1,1,0,0
72,3,248.0,247,34,208,33,3,2,0,2
73,3,132.0,89,40,110,20,1,0,0,1
74,3,226.0,341,41,196,30,0,0,0,0
75,3,35.0,1,0,35,0,0,0,0,0
76,3,219.0,316,36,170,46,3,0,0,0
77,3,94.0,1,1,94,0,0,0,0,0
78,3,259.0,368,50,234,25,0,0,0,0
79,3,62.0,1,0,62,0,0,0,0,0
80,3,127.0,76,21,114,13,0,0,0,0
81,3,149.0,63,15,134,15,0,0,0,0
82,3,134.0,171,41,116,18,0,0,0,0
83,3,392.0,461,47,360,32,0,0,0,0
84,3,310.0,540,41,284,26,0,0,0,0
85,1,14.0,3,0,12,2,0,0,0,0
86,1,293.0,6,1,275,15,3,0,0,0
87,1,236.0,12,0,226,8,1,1,0,0
88,1,312.0,10,0,291,18,3,0,0,0
89,1,24.0,12,0,24,0,0,0,0,0
90,0,16.0,9,0,15,1,0,0,0,0
91,1,33.0,12,0,32,1,0,0,0,0
92,1,675.0,10,0,645,29,1,0,0,0
93,1,737.0,18,0,697,31,9,0,0,0
94,1,572.0,16,0,554,16,2,0,0,0
95,1,23.0,7,0,20,3,0,0,0,0
96,1,266.0,25,0,250,11,5,0,0,0
97,3,378.0,512,30,348,27,2,0,0,1
98,3,421.0,709,30,373,45,2,0,1,0
99,3,1493.0,1979,753,1333,139,9,3,8,1
100,1,76.0,17,0,76,0,0,0,0,0
101,1,36.0,11,0,34,2,0,0,0,0
102,1,19.0,8,0,18,0,0,1,0,0
103,1,27.0,10,0,27,0,0,0,0,0
104,1,117.0,2,53,108,9,0,0,0,0
105,1,146.0,1,0,145,1,0,0,0,0
106,1,166.0,0,13,151,7,0,0,8,0
107,1,190.0,0,31,171,0,0,0,19,0
108,1,217.0,16,0,213,4,0,0,0,0
109,1,458.0,14,0,451,3,4,0,0,0
110,1,553.0,15,0,538,12,3,0,0,0
111,1,203.0,18,11,190,7,6,0,0,0
112,1,1005.0,25,1,979,16,9,1,0,0
113,3,202.0,145,23,182,19,0,0,0,1
114,1,428.0,14,0,419,4,5,0,0,0
115,1,479.0,17,0,462,10,7,0,0,0
116,3,212.0,116,11,201,10,1,0,0,0
117,3,225.0,157,17,211,14,0,0,0,0
118,3,171.0,46,5,156,12,2,1,0,0
119,3,247.0,120,16,232,14,1,0,0,0
120,3,269.0,453,39,242,26,1,0,0,0
121,3,258.0,486,32,235,23,0,0,0,0
122,1,109.0,2,1,104,5,0,0,0,0
123,1,97.0,5,0,96,0,1,0,0,0
124,3,280.0,199,25,254,24,2,0,0,0
125,3,325.0,77,21,293,30,1,1,0,0
126,1,51.0,11,0,51,0,0,0,0,0
127,3,280.0,825,47,243,35,1,1,0,0
128,3,688.0,0,0,632,34,0,0,22,0
129,3,365.0,805,46,320,39,1,3,0,2
130,1,295.0,5,0,295,0,0,0,0,0
131,1,27.0,14,0,26,1,0,0,0,0
132,1,15.0,11,0,15,0,0,0,0,0
133,1,16.0,12,0,16,0,0,0,0,0
134,1,29.0,12,0,29,0,0,0,0,0
135,3,28.0,6,0,28,0,0,0,0,0
136,1,8.0,8,0,8,0,0,0,0,0
137,1,10.0,9,0,10,0,0,0,0,0
138,1,39.0,8,0,39,0,0,0,0,0
139,1,49.0,11,0,47,2,0,0,0,0
140,3,226.0,449,37,189,25,1,1,10,0
141,3,104.0,49,13,91,12,0,0,1,0
142,1,251.0,17,0,244,7,0,0,0,0
143,3,244.0,589,48,213,29,1,1,0,0
144,3,252.0,558,41,204,45,1,1,0,1
145,3,121.0,15,4,114,4,2,1,0,0
146,1,321.0,5,0,307,11,2,1,0,0
147,1,103.0,8,3,99,4,0,0,0,0
148,3,136.0,31,16,122,14,0,0,0,0
149,3,337.0,247,27,300,35,1,1,0,0
150,1,648.0,13,0,627,18,3,0,0,0
151,3,175.0,157,14,157,18,0,0,0,0
152,3,339.0,424,36,296,38,1,4,0,0
153,1,341.0,3,0,331,8,2,0,0,0
154,3,177.0,131,27,150,27,0,0,0,0
155,1,201.0,0,0,195,4,2,0,0,0
156,1,43.0,7,0,41,2,0,0,0,0
157,1,40.0,7,0,39,1,0,0,0,0
158,1,58.0,14,0,57,1,0,0,0,0
159,3,403.0,525,42,363,36,1,3,0,0
160,1,148.0,4,3,144,4,0,0,0,0
161,1,150.0,24,2,144,6,0,0,0,0
162,1,53.0,12,0,53,0,0,0,0,0
163,2,144.0,15,8,140,4,0,0,0,0
164,3,298.0,491,46,262,34,2,0,0,0
165,1,171.0,4,1,166,5,0,0,0,0
166,1,4410.0,633,257,4315,73,17,5,0,0
167,3,374.0,588,46,327,47,0,0,0,0
168,1,181.0,20,0,180,1,0,0,0,0
169,1,267.0,20,1,249,8,10,0,0,0
170,1,60.0,7,0,59,1,0,0,0,0
171,1,98.0,23,5,95,2,1,0,0,0
172,3,26.0,7,0,26,0,0,0,0,0
173,1,255.0,18,0,244,11,0,0,0,0
174,1,174.0,6,1,167,5,2,0,0,0
175,1,64.0,5,1,59,5,0,0,0,0
176,1,62.0,3,0,58,4,0,0,0,0
177,3,192.0,417,40,168,22,1,1,0,0
178,1,110.0,18,6,110,0,0,0,0,0
179,1,119.0,12,7,117,2,0,0,0,0
180,1,42.0,11,0,41,0,1,0,0,0
181,3,234.0,355,34,178,52,2,0,1,1
182,1,54.0,10,0,53,1,0,0,0,0
183,1,82.0,8,0,80,1,0,0,1,0
184,1,18.0,8,0,18,0,0,0,0,0
185,1,147.0,17,7,141,5,1,0,0,0
186,1,80.0,8,0,79,1,0,0,0,0
187,3,299.0,564,42,262,34,1,1,0,1
188,1,629.0,11,1,607,18,4,0,0,0
189,1,69.0,2,0,67,2,0,0,0,0
190,3,219.0,110,17,190,26,1,2,0,0
191,1,30.0,2,0,27,3,0,0,0,0
192,1,65.0,1,0,62,2,1,0,0,0
193,1,161.0,7,0,153,8,0,0,0,0
194,3,398.0,605,30,348,44,3,3,0,0
195,1,47.0,7,0,47,0,0,0,0,0
196,1,182.0,3,4,177,5,0,0,0,0
197,3,317.0,158,32,269,47,1,0,0,0
198,3,571.0,888,107,459,107,1,1,1,2
199,1,16.0,10,0,15,1,0,0,0,0
200,1,30.0,9,0,30,0,0,0,0,0
201,1,57.0,7,0,57,0,0,0,0,0
202,1,74.0,6,3,74,0,0,0,0,0
203,3,368.0,911,50,317,50,1,0,0,0
204,1,19.0,3,0,19,0,0,0,0,0
205,1,176.0,3,0,175,0,1,0,0,0
206,1,133.0,7,0,133,0,0,0,0,0
207,1,162.0,6,2,158,3,1,0,0,0
208,3,734.0,996,73,601,116,11,6,0,0
209,2,42.0,16,9,41,1,0,0,0,0
210,2,33.0,6,3,31,2,0,0,0,0
211,3,29.0,6,1,29,0,0,0,0,0
212,1,43.0,6,0,42,1,0,0,0,0
213,1,14.0,6,0,13,1,0,0,0,0
214,3,475.0,574,48,406,63,4,2,0,0
215,1,50.0,8,2,49,1,0,0,0,0
216,1,94.0,23,6,94,0,0,0,0,0
217,3,303.0,34,3,291,11,1,0,0,0
218,1,168.0,7,1,167,1,0,0,0,0
219,1,248.0,14,0,241,7,0,0,0,0
220,1,422.0,6,0,410,8,3,1,0,0
221,1,189.0,3,0,184,2,0,3,0,0
222,1,390.0,17,2,382,5,3,0,0,0
223,1,618.0,28,0,597,14,7,0,0,0
224,1,191.0,2,2,188,2,1,0,0,0
225,3,321.0,1381,67,275,44,1,1,0,0
226,1,364.0,7,2,347,15,2,0,0,0
227,1,51.0,10,0,51,0,0,0,0,0
228,3,282.0,524,38,247,34,0,1,0,0
229,1,369.0,14,1,362,7,0,0,0,0
230,1,138.0,16,6,133,4,1,0,0,0
231,1,96.0,9,1,93,1,2,0,0,0
232,1,186.0,11,0,184,1,1,0,0,0
233,1,487.0,15,0,461,14,12,0,0,0
234,3,282.0,19,4,257,20,3,2,0,0
235,1,383.0,8,1,367,13,3,0,0,0
236,1,216.0,0,1,211,5,0,0,0,0
237,1,48.0,0,0,45,2,1,0,0,0
238,3,885.0,462,26,659,220,0,2,0,0
239,1,185.0,11,1,175,10,0,0,0,0
240,1,259.0,1,1,251,7,0,1,0,0
241,1,299.0,9,0,291,8,0,0,0,0
242,1,199.0,9,1,186,13,0,0,0,0
243,1,717.0,40,1,680,30,7,0,0,0
244,1,155.0,2,0,150,5,0,0,0,0
245,1,293.0,8,0,282,11,0,0,0,0
246,1,243.0,6,0,237,5,1,0,0,0
247,1,264.0,2,0,256,2,5,0,0,0
248,1,313.0,3,0,297,7,6,0,0,0
249,1,208.0,1,0,201,7,0,0,0,0
250,1,216.0,0,0,209,6,1,0,0,0
251,1,247.0,6,0,234,9,1,0,0,0
252,1,152.0,1,0,146,5,1,0,0,0
253,1,387.0,3,0,368,16,1,0,0,0
254,1,178.0,9,0,170,6,0,0,0,0
255,1,218.0,4,0,212,5,1,0,0,0
256,1,270.0,3,0,256,10,3,0,0,0
257,1,351.0,4,1,344,6,0,0,0,0
258,1,232.0,0,2,224,8,0,0,0,0
259,1,252.0,3,0,244,4,4,0,0,0
260,1,122.0,0,0,114,8,0,0,0,0
261,1,209.0,4,0,199,9,1,0,0,0
262,1,305.0,5,1,295,10,0,0,0,0
263,1,71.0,10,2,70,1,0,0,0,0
264,1,290.0,12,0,275,13,1,1,0,0
265,1,67.0,6,3,66,0,1,0,0,0
266,1,783.0,11,0,752,30,1,0,0,0
267,1,77.0,2,0,76,1,0,0,0,0
268,3,22.0,0,0,22,0,0,0,0,0
269,1,103.0,0,0,100,2,1,0,0,0
270,3,32.0,0,2,32,0,0,0,0,0
271,1,239.0,5,2,229,8,0,0,2,0
272,1,111.0,6,0,110,1,0,0,0,0
273,3,51.0,0,1,51,0,0,0,0,0
274,3,34.0,4,0,34,0,0,0,0,0
275,0,15.0,0,0,15,0,0,0,0,0
276,3,75.0,0,5,75,0,0,0,0,0
277,1,177.0,2,0,173,2,2,0,0,0
278,1,520.0,8,0,505,13,2,0,0,0
279,1,134.0,2,0,132,2,0,0,0,0
280,1,228.0,1,1,220,7,1,0,0,0
281,3,498.0,254,17,408,77,5,6,1,1
282,1,166.0,5,2,159,7,0,0,0,0
283,3,272.0,265,20,228,44,0,0,0,0
284,1,127.0,7,1,125,2,0,0,0,0
285,1,30.0,0,0,29,0,1,0,0,0
286,0,33.0,1,1,33,0,0,0,0,0
287,1,252.0,5,0,239,9,4,0,0,0
288,1,287.0,0,0,286,0,1,0,0,0
289,1,264.0,8,3,257,5,2,0,0,0
290,1,152.0,5,1,148,3,1,0,0,0
291,1,61.0,5,0,57,3,1,0,0,0
292,3,172.0,7,7,163,6,2,1,0,0
293,3,616.0,523,21,459,125,21,8,0,1
294,1,188.0,0,0,184,4,0,0,0,0
295,3,593.0,309,23,484,99,1,4,4,1
296,1,189.0,2,0,182,5,2,0,0,0
297,1,178.0,5,0,175,3,0,0,0,0
298,1,318.0,7,0,313,4,1,0,0,0
